direction,system,SacreBLEU,chrF,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
pt_en,qwen2audio-7b,33.3347,61.0246,1.0881,5.1579,4.5803,0.8056,0.7947
pt_en,tower_owsm4.0-ctc,45.8399,69.9046,0.2176,3.1004,2.8434,0.9009,0.8979
pt_en,tower_whisper,47.204,70.8205,0.3264,2.5947,2.3863,0.9255,0.9243
pt_en,whisper,37.4762,64.7088,0.0,4.057,3.4828,0.873,0.8838
pt_en,desta2-8b,35.0551,63.2163,0.0,4.2509,3.8246,0.8254,0.8048
pt_en,gemma_owsm4.0-ctc,40.6157,66.7387,0.0,3.0967,2.8125,0.8988,0.8915
pt_en,gemma_whisper,41.134,67.234,0.3264,2.667,2.4219,0.9209,0.9157
pt_en,phi4multimodal,40.4801,66.9603,0.2176,3.0543,2.6303,0.9126,0.9169
pt_en,seamlessm4t,37.5425,64.7698,0.1088,4.1687,3.6813,0.8629,0.8691
pt_en,tower_canary-v2,46.9949,70.6735,0.0,2.623,2.424,0.9229,0.9238
pt_en,tower_seamlessm4t,40.9747,68.1067,0.0,3.3242,3.1332,0.8919,0.8815
pt_en,voxtral-small-24b,48.8274,71.1709,0.7617,2.2673,2.18,0.936,0.9312
en_zh,canary-v2,0.1245,2.4877,100.0,25.0,25.0,0.0,0.0
en_zh,gemma_canary-v2,38.5052,32.7556,0.0,2.3509,2.2717,0.8881,0.8861
en_zh,gemma_seamlessm4t,37.8576,31.9005,0.0,2.37,2.267,0.8851,0.8877
en_zh,owsm4.0-ctc,26.4666,24.7182,0.0,7.9851,7.783,0.5835,0.5776
en_zh,qwen2audio-7b,33.5878,28.7036,0.4644,3.6219,3.4173,0.8049,0.8046
en_zh,spirelm,24.8888,25.5222,0.0,5.0305,4.6299,0.6962,0.6915
en_zh,tower_owsm4.0-ctc,43.1395,36.7284,0.0,2.4243,2.3833,0.8819,0.8787
en_zh,tower_whisper,43.1072,36.8845,0.0,2.2961,2.2486,0.8948,0.8884
en_zh,desta2-8b,15.0313,12.9114,34.2105,11.6167,11.4449,0.4879,0.4884
en_zh,gemma_owsm4.0-ctc,37.677,32.0368,0.0,2.6075,2.4902,0.8717,0.8727
en_zh,gemma_whisper,38.2991,32.845,0.0,2.3553,2.2611,0.882,0.8792
en_zh,phi4multimodal,34.1682,28.9535,8.2043,5.191,5.0204,0.7695,0.7709
en_zh,seamlessm4t,28.0935,24.983,0.0,5.439,5.0379,0.7405,0.7373
en_zh,tower_canary-v2,43.6458,37.3296,0.0,2.183,2.1584,0.8994,0.8979
en_zh,tower_seamlessm4t,42.7948,36.3863,0.0,2.2971,2.2645,0.8967,0.8932
en_zh,voxtral-small-24b,43.5291,37.6182,0.0,2.1228,2.1292,0.9003,0.898
zh_en,canary-v2,0.0414,8.2983,65.6085,24.5819,24.3884,0.0436,0.0441
zh_en,gemma_seamlessm4t,21.3118,53.3179,0.4233,2.5625,2.124,0.8998,0.9077
zh_en,owsm4.0-ctc,2.8834,20.3813,3.4921,19.4511,19.5131,0.2006,0.2072
zh_en,qwen2audio-7b,18.4013,48.0031,5.0794,4.6089,3.9521,0.8072,0.8176
zh_en,tower_owsm4.0-ctc,25.3012,55.5565,0.0,3.1598,2.6813,0.8751,0.8854
zh_en,tower_whisper,26.7964,57.3063,0.1058,2.1782,1.7881,0.9146,0.9219
zh_en,whisper,15.5933,45.5922,0.2116,6.9734,5.9495,0.732,0.7641
zh_en,desta2-8b,14.1487,46.5472,0.6349,5.1588,4.3109,0.7379,0.7453
zh_en,gemma_owsm4.0-ctc,20.1206,51.554,0.5291,3.7206,3.1692,0.8528,0.8659
zh_en,gemma_whisper,21.81,53.7328,0.4233,2.43,2.0381,0.8982,0.907
zh_en,phi4multimodal,22.2864,51.5074,5.7143,4.3681,3.7811,0.8125,0.8353
zh_en,seamlessm4t,22.7872,52.3303,0.0,4.2227,3.4874,0.8445,0.8669
zh_en,tower_canary-v2,0.0316,8.7174,43.9153,20.7111,19.028,0.1025,0.1003
zh_en,tower_seamlessm4t,27.0636,57.2853,0.0,2.2588,1.8434,0.9134,0.9219
zh_en,voxtral-small-24b,23.9202,51.515,0.2116,3.916,3.0309,0.8355,0.8567
